name,ticker,figi
Waters,wat,BBG000FQRVM3
Красногорский завод им. С.А. Зверева - ао,kziz,TCS009124010
Quest Diagnostics,dgx,BBG000BN84F3
CDW Corp,cdw,BBG001P63B80
Harley-Davidson,hog,BBG000BKZTP3
Welltower REIT,well,BBG000BKY1G5
Medifast Inc,med,BBG000BWBW76
UGI Corp,ugi,BBG000BVYN55
LivePerson Inc,lpsn,BBG000BSV0W5
Ensign Group Inc,ensg,BBG000K1T9L0
GitLab,gtlb,BBG00DHTYPH8
China Petroleum & Chemical Corp,386,BBG000MQF8G6
TE Connectivity,tel,BBG000RGM5P1
Edison International,eix,BBG000D7RKJ5
Old Dominion Freight Line Inc,odfl,BBG000CHSS88
Axsome Therapeutics Inc,axsm,BBG00B6G7GL7
Piedmont Lithium,pll,BBG00YJ7NBQ1
Perficient Inc,prft,BBG000BVXFK6
Rocket Companies,rkt,BBG00VY1MYW7
"Virtu Financial, Inc.",virt,BBG0064N2T78
Gevo,gevo,BBG000P7S7L7
"Airbnb, Inc",abnb,BBG001Y2XS07
Etalon Group PLC ГДР,etln,BBG001M2SC01
Wuxi Biologics,2269,BBG00GTY47H0
Tencent Holdings,700,BBG000BJ35N5
"PriceSmart, Inc.",psmt,BBG000BTKR92
Varex Imaging Corp,vrex,BBG00CZNLR47
Trimble Inc,trmb,BBG000BNPS52
Warner Bros. Discovery,wbd,BBG011386VF4
Cintas,ctas,BBG000H3YXF8
Shopify Inc,shop,BBG008HBD923
Integer Holdings Corp,itgr,BBG000BW6JV4
Yum!,yum,BBG000BH3GZ2
Timken Co The,tkr,BBG000BV95H9
Healthcare Services Group Inc,hcsg,BBG000BKYVF0
Alarm com Holdings Inc,alrm,BBG007GNPYY7
Казаньоргсинтез - акции привилегированные,kzosp,BBG0029SG1C1
Agilent Technologies,a,BBG000C2V3D6
Greif Inc,gef,BBG000BLFNC0
Blackstone Mortgage Trust REIT,bxmt,BBG000BGKJ70
Snowflake Inc,snow,BBG007DHGNJ4
"UiPath, Inc.",path,BBG00GKS1G03
Whoosh,wush,TCS00A105EX7
ConocoPhillips,cop,BBG000BQQH30
Zebra Technologies Corp,zbra,BBG000CC7LQ7
Academy Sports & Outdoors,aso,BBG00X7L1C14
Builders FirstSource Inc,bldr,BBG000BKD3K9
CSG Systems International Inc,csgs,BBG000G3TQV2
Hillenbrand,hi,BBG000KT0GV3
Intuit,intu,BBG000BH5DV1
National Health Investors REIT,nhi,BBG000CGWSJ3
Old Republic International Corporation,ori,BBG000C4PLF7
Barrett Business Services Inc,bbsi,BBG000BHJSC4
United medical group,gemc,TCS00A107JE2
CareDx Inc,cdna,BBG006JS5785
Южуралзолото ГК,ugld,TCS00A0JPP37
Tucows Inc,tcx,BBG000L69KL5
ФосАгро,phor,BBG004S689R0
OraSure Technologies Inc,osur,BBG000J3D1Y8
O'Reilly Automotive,orly,BBG000BGYWY6
Avanos Medical Inc,avns,BBG005L86G05
Altimmune,alt,BBG000FXML90
Duke Energy Corp,duk,BBG000BHGDH5
HENDERSON,hnfg,TCS00A106XF2
BWX Technologies,bwxt,BBG000D86F25
"Reliance, Inc.",rs,BBG000CJ2181
HeadHunter Group PLC,hhru,TCS2207L1061
CarParts.com,prts,BBG000N26V95
Cardinal Health,cah,BBG000D898T9
Xinyi Glass Holdings,868,BBG000LG6G08
KeyCorp,key,BBG000BMQPL1
Лензолото,lnzl,BBG000SK7JS5
Alamo Group Inc.,alg,BBG000BJTZX0
Children's Place Inc The,plce,BBG000JK9DK4
CACI International,caci,BBG000KQY8Y7
Vistra,vst,BBG00DXDL6Q1
Watts Water Technologies Inc,wts,BBG000C4Z6C2
John B Sanfilippo & Son Inc,jbss,BBG000CHPMY5
MongoDB Inc,mdb,BBG0022FDRY8
Nokia,nok,BBG000BNGBW9
Wyndham Hotels & Resorts,wh,BBG00HCY3Q67
UDR REIT,udr,BBG000C41023
Селигдар,selg,BBG002458LF8
ONEOK,oke,BBG000BQHGR6
Omnicom Group,omc,BBG000BS9489
Nicolet Bankshares,nic,BBG000QK0TG5
TaskUs,task,BBG009CL6VK3
Innospec,iosp,BBG000BMFNP4
Татнефть - привилегированные акции,tatnp,BBG004S68829
Allogene Therapeutics Inc,allo,BBG00KHRRDX3
A. O. Smith Corporation,aos,BBG000BC1L02
Sinopharm Group,1099,BBG000VWV3Z5
Chubb,cb,BBG000BR14K5
Славнефть,slav,TCS009086904
Ramaco Resources Inc,metc,BBG00BCQJ2X3
Block,sq,BBG0018SLC07
ГТМ,gtrk,TCS30A0ZYD22
Universal Display Corp,oled,BBG000BLRP41
DaVita HealthCare Partners,dva,BBG000MQ1SN9
1-800-Flowers.com Inc,flws,BBG000BBR9P6
Carlisle Companies Incorporated,csl,BBG000BGGBT8
China Mengniu Dairy,2319,BBG000PXTGY5
New York Times,nyt,BBG000FFC0B3
Legacy Housing Corp,legh,BBG00MJDR6J9
Stanley Black & Decker,swk,BBG000BTQR96
Mosaic,mos,BBG000BFXHL6
ЧЗПСН,prfn,TCS00A0JNXF9
Masimo Corporation,masi,BBG000C3W281
Abercrombie & Fitch,anf,BBG000H9G7X2
China Vanke,2202,BBG006KY4KF4
First Solar,fslr,BBG000BFL116
Yext Inc,yext,BBG001MKZGY7
Kyndryl Holdings,kd,BBG012W99DN6
Columbia Banking System,colb,BBG000CTGXS2
West Pharmaceutical Services I,wst,BBG000BX24N8
Fluor,flr,BBG000BB1TH9
Upbound Group,upbd,BBG000BHQJX3
YETI Holdings Inc,yeti,BBG00D8JC882
Uranium Energy Corp,uec,BBG000LCK3Q2
Zentalis Pharmaceuticals,zntl,BBG00R2K8TF5
China Resources Land,1109,BBG000HPNDX5
Workday Inc,wday,BBG000VC0T95
AIA Group,1299,BBG0016XR1Q8
Gap,gap,BBG000BKLH74
Rayonier REIT,ryn,BBG000BG7L34
Hua Hong Semiconductor,1347,BBG0078Q6BC4
Embecta,embc,BBG014L7D4G1
Магнитогорский металлургический комбинат,magn,BBG004S68507
Банк ВТБ,vtbr,BBG004730ZJ9
Lumen Technologies,lumn,BBG000BGLRN3
Warner Music Group,wmg,BBG00RP2T9T6
World Acceptance Corp,wrld,BBG000C3G9J2
Vista Outdoor,vsto,BBG006F8QZK4
"Tri Pointe Homes, Inc.",tph,BBG0016YQTR5
Avient Corporation,avnt,BBG000C8NJ10
Advance Auto Parts,aap,BBG000F7RCJ1
Aon,aon,BBG00SSQFPK6
Trade Desk Inc/The,ttd,BBG00629NGT2
Equifax,efx,BBG000BHPL78
Aspira Womens Health,awh,BBG000BTYP37
McCormick & Co,mkc,BBG000G6Y5W4
Rapid7 Inc,rpd,BBG009DFHWG6
КарМани,carm,TCS00A105NV2
Mohawk Industries,mhk,BBG000FLZN98
Mastercard,ma,BBG000F1ZSQ2
РУСАЛ,rual,BBG008F2T3T2
НКХП,nkhp,BBG00BGKYH17
Global-E Online Ltd,glbe,BBG00ZKY1P71
Форвард Энерго,tgkj,TCS00A0F61T7
SBA Communications REIT,sbac,BBG000D2M0Z7
American States Water Co,awr,BBG000F964B6
Selective Insurance Group,sigi,BBG000BSZ738
RB Global,rba,BBG000C1DF05
Playtika Holding Corp.,pltk,BBG00QQ8C789
Monday.Com,mndy,BBG00GF8K4W4
Compugen,cgen,BBG000B9ZLB0
"Intra-Cellular Therapies, Inc",itci,BBG0026ZFZC4
America's Car-Mart Inc TX,crmt,BBG000CM6L31
Toll Brothers Inc,tol,BBG000BVHBM1
Simon Property Group REIT,spg,BBG000BJ2D31
NVR Inc,nvr,BBG000BQBYR3
American Water Works,awk,BBG000TRJ294
Catalent Inc,ctlt,BBG005XR47P5
Berry Global Group Inc,bery,BBG000Q1R1Y9
Stepan Company,scl,BBG000BSMFN2
Commercial Metals Company,cmc,BBG000BFSND8
China International Capital Corporation,3908,BBG00B0THY80
Ironwood Pharmaceuticals,irwd,BBG000GBZ3J2
DoorDash,dash,BBG005D7QCJ3
Hengan Group,1044,BBG000CJXNB5
Brinker International Inc,eat,BBG000BK28N7
Snap Inc,snap,BBG00441QMJ7
Taiwan Semiconductor Manufacturing,tsm,BBG000BD8ZK0
Simulations Plus Inc.,slp,BBG000BS2ZD1
"MarineMax, Inc.",hzo,BBG000C1SRH5
Campbell Soup,cpb,BBG000BG4202
Vertiv Holdings Co,vrt,BBG00L2B8KW8
Church & Dwight,chd,BBG000BFJT36
Bath & Body Works,bbwi,BBG000BNGTQ7
Sunrun Inc,run,BBG0025XVR85
Akamai Technologies,akam,BBG000BJQWD2
Canadian Pacific Kansas City,cp,BBG000BCVMH9
Sempra,sre,BBG000C2ZCH8
Zumiez Inc,zumz,BBG000PYX812
Topgolf Callaway Brands,modg,BBG000CPCVY1
United States Cellular Corp,usm,BBG000BW6P59
Zynerba Pharmaceuticals Inc,zyne,BBG007BBS8B7
Skillz Inc.,sklz,BBG00RQ732B6
Sun Hung Kai Properties,16,BBG000BF0155
Bank of Montreal,bmo,BBG000DLY9B9
WuXi AppTec,2359,BBG00MP10H94
Anavex Life Sciences Corp.,avxl,BBG000C9K8K4
ATI Inc,ati,BBG000LC1FS4
PICC Property and Casualty,2328,BBG000BYRGX1
Coinbase,coin,BBG00ZGF7771
Cleanspark Inc,clsk,BBG001MB89V6
Danimer Scientific,dnmr,BBG00S4VMQT2
"ATN International, Inc",atni,BBG000F8RCH1
Community Financial System,cbu,BBG000BF4D19
Meituan,3690,BBG00LLV9WW6
Arconic,arnc,BBG00R45JYB7
MarketAxess Holdings Inc,mktx,BBG000BJBZ23
Silk Road Medical,silk,BBG0026ZJRY4
Enanta Pharmaceuticals Inc,enta,BBG001V9NSB4
Inmode Ltd,inmd,BBG00PPS73P4
Huntington Bancshares,hban,BBG000BKWSR6
Pool Corp,pool,BBG000BCVG28
Quotient Technology Inc,quot,BBG001QYNR63
Beacon Roofing Supply Inc,becn,BBG000BKTXF2
Foot Locker,fl,BBG000BX8DC4
Shanghai Fudan Microelectronics,1385,BBG000C1FPY4
Jacobs Solutions,j,BBG019C1BQR4
Башнефть - привилегированные акции,banep,BBG004S686N0
Brixmor Property Group REIT,brx,BBG001LFLZZ1
Air Products & Chemicals,apd,BBG000BC4JJ4
Nordson Corp,ndsn,BBG000BPWGR1
Ultragenyx Pharmaceutical Inc,rare,BBG001RWPDW6
Cigna,ci,BBG00KXRCDP0
O'Key Group SA,okey,BBG00172J7S9
АЛРОСА,alrs,BBG004S68B31
Postal Savings Bank of China,1658,BBG00DSLKXX3
Andersons Inc,ande,BBG000BF8CN3
Udemy,udmy,BBG0025DTRN5
SYNNEX Corp,snx,BBG000CL9JV4
"UFP Industries, Inc",ufpi,BBG000BL0T06
Alaska Air Group,alk,BBG000BBL0Y1
Masco,mas,BBG000BNNKG9
Элемент,elmt,TCS00A102093
Garmin,grmn,BBG000C4LN67
Magnolia Oil & Gas Corp,mgy,BBG00GNC8DL2
Prospect Capital Corporation,psec,BBG000Q3RGN4
Stericycle,srcl,BBG000H3FZM6
"Becton, Dickinson and Company",bdx,BBG000BCZYD3
SONOS INC,sono,BBG001JZPSQ2
Cannae Holdings,cnne,BBG00GXRNJP4
Melco Resorts & Entertainment,mlco,BBG000BHP8J4
Procore Technologies,pcor,BBG0026ZJ304
Россети Центр и Приволжье,mrkp,BBG000VG1034
Intel Corporation,intc,BBG000C0G1D1
Coca-Cola Consolidated Inc,coke,BBG000BG1SX2
"Doximity, Inc.",docs,BBG0026ZJQX7
First Industrial REIT,fr,BBG000CKGDS5
American International Group,aig,BBG000BBDZG3
Cavco Industries Inc,cvco,BBG000K4WS65
Travelers Cos,trv,BBG000BJ81C1
Sonic Automotive,sah,BBG000BBMNG0
Совкомфлот,flot,BBG000R04X57
Dutch Bros,bros,BBG01282ZHB3
Moderna Inc,mrna,BBG003PHHZT1
Shenandoah Telecommunications,shen,BBG000BTC2N0
EnerSys,ens,BBG000PWTD92
Thomson Reuters Corporation,tri,BBG000BBS9F6
"XPO, Inc.",xpo,BBG000L5CJF3
Leidos Holdings,ldos,BBG000C23PB0
Apple,aapl,BBG000B9XRY4
Waste Management,wm,BBG000BWVSR1
CITIC,267,BBG000BF0V40
Booking,bkng,BBG000BLBVN4
Prothena Corporation,prta,BBG003PDKJF7
Etsy Inc,etsy,BBG000N7MXL8
STAG Industrial REIT,stag,BBG000BGLFP7
DLocal,dlo,BBG00XGCHFV7
Диасофт,dias,TCS00A107ER5
"Hawaiian Electric Industries, Inc.",he,BBG000BL0P40
JOYY Inc,yy,BBG003H0XV18
Татнефть,tatn,BBG004RVFFC0
NIKE,nke,BBG000C5HS04
Deluxe Corp,dlx,BBG000BH6360
"Frontdoor, Inc.",ftdr,BBG00H9MNDZ2
Kraft Heinz,khc,BBG005CPNTQ2
MerIt Medical Systems Inc,mmsi,BBG000C42VX0
First Majestic Silver Corp,ag,BBG000CH7WB8
Blackline Inc,bl,BBG0029KJVB0
Robert Half,rhi,BBG000BS5DR2
Inogen Inc,ingn,BBG0021PH456
Tianqi Lithium Corporation,9696,BBG018KZQ6K7
Spirit Airlines Inc,save,BBG000BF6RQ9
Henderson Land,12,BBG000BDWF36
SIGA Technologies,siga,BBG000BKXWV1
Bank of China (Hong Kong),2388,BBG000F6F1G3
Qorvo,qrvo,BBG007TJF1N7
Hanover Insurance Group,thg,BBG000FJH8W0
Carlyle Group,cg,BBG000BH3F20
"Corpay, Inc.",cpay,TCS199481068
Enphase Energy Inc,enph,BBG001R3MNY9
Bill.com Holdings Inc,bill,BBG00QVJV6V4
Hyliion Holdings Corp.,hyln,BBG00N9MJTZ9
China Eastern Airlines,670,BBG000BP6D06
IPG Photonics Corporation,ipgp,BBG000DCGRL8
Johnson Outdoors Inc,jout,BBG000HCXFS4
Badger Meter Inc,bmi,BBG000BDGHD9
United Natural Foods,unfi,BBG000BXB1M5
Strategic Education Inc,stra,BBG000GRZDV1
Kaiser Aluminum Corp,kalu,BBG000PKZDX4
Qualys Inc,qlys,BBG000HT5G06
Euronet Worldwide Inc,eeft,BBG000BMNBY1
Tanger,skt,BBG000D2JB50
Patrick Industries Inc,patk,BBG000BQSBB2
Артген,abio,TCS10A0JNAB6
Bio-Techne,tech,BBG000C15114
Takeda Pharmaceutical Co Ltd,tak,BBG000LF8708
Cara Therapeutics Inc,cara,BBG001J2QYS9
BioXcel Therapeutics,btai,BBG00K20GVD2
Casey's General Stores Inc,casy,BBG000BF0672
SL Green REIT,slg,BBG000BVP5P2
Keysight Technologies Inc,keys,BBG0059FN811
Prestige Consumer Healthcare I,pbh,BBG000QM0RZ4
Nubank,nu,BBG0136WM1M4
Huntington Ingalls Industries Inc,hii,BBG001KJ2HM9
Bank of China,3988,BBG000NQGF05
ОВК,uwgn,BBG008HD3V85
Novavax,nvax,BBG000NVSBL7
Invitation Homes REIT,invh,BBG00FQH6BS9
Energy Fuels,uuuu,BBG000BXTPV3
"Bionano Genomics, Inc.",bngo,BBG001KWWRS9
Brighthouse Financial,bhf,BBG00DYPZ4T0
Budweiser Brewing,1876,BBG00P4RBR99
The Beauty Health Company,skin,BBG00XKM1DC3
STAAR Surgical Co,staa,BBG000C4QB95
John Bean Technologies,jbt,BBG000VLBCQ1
ДЭК,dvec,BBG000V07CB8
Mid-America Apartment REIT,maa,BBG000BLMY92
Carter's Inc,cri,BBG000CTM4J9
Etalon Group PLC ГДР,etln@gs,TCS0760G1031
American Tower REIT,amt,BBG000B9XYV2
Xcel Energy,xel,BBG000BCTQ65
Calavo Growers Inc,cvgw,BBG000BGPQW1
Ростелеком,rtkm,BBG004S682Z6
Visteon Corp,vc,BBG0016T3GQ0
Kemper,kmpr,BBG000H3GDJ8
Mr. Cooper Group,coop,BBG002V098F7
Assured Guaranty Ltd,ago,BBG000CQB185
Fortinet Inc,ftnt,BBG000BCMBG4
Bio-Rad Laboratories Inc,bio,BBG000DY28W5
Iovance Biotherapeutics Inc,iova,BBG000FTLBV7
Промомед,prmd,TCS30A108JF7
Ally Financial Inc,ally,BBG000BC2R71
Affiliated Managers Group,amg,BBG000C060M4
Kodiak Sciences Inc,kod,BBG00BVR0D02
МФК Займер,zaym,TCS00A107RM8
МТС,mtss,BBG004S681W1
Globaltrans Investment PLC,gltr@gs,TCS1949E2046
Quince Therapeutics,qncx,BBG00BTK1DT8
Cisco,csco,BBG000C3J3C9
Озон Фармацевтика,ozph,TCS00A109B25
New Fortress Energy,nfe,BBG00MJH9LC4
Fastly Inc,fsly,BBG004NLQHL0
New Jersey Resources Corp,njr,BBG000BPZVW9
Check Point Software Technologies Ltd,chkp,BBG000K82ZT8
Bilibili Inc,bili,BBG00K7T3037
ТГК-14,tgkn,BBG000RG4ZQ4
Транснефть - привилегированные акции,trnfp,BBG00475KHX6
O-I Glass,oi,BBG00R2JZG39
Eagle Materials Inc,exp,BBG000BJW241
Sensient Technologies Corp,sxt,BBG000J79P80
PHINIA,phin,BBG01F6N6NM7
Westamerica Bancorporation,wabc,BBG000DD3KP1
Zhuzhou CRRC Times Electric,3898,BBG000C6Z021
Public Service Enterprise Group,peg,BBG000BQZMH4
PennyMac Mortgage Investment REIT,pmt,BBG000DKDWS5
Synchrony Financial,syf,BBG00658F3P3
China Oilfield Services Ltd,2883,BBG000PH54R1
Addus HomeCare Corp,adus,BBG000NJGX84
Valero Energy Corporation,vlo,BBG000BBGGQ1
Movado Group Inc,mov,BBG000BL30Y9
Fortrea Holdings Inc.,ftre,BBG01GZF9VY6
"Hibbett, Inc.",hibb,BBG000H001V3
Ambarella,amba,BBG001QZCPJ2
Unitil Corporation,utl,BBG000BW7X97
Envista Holdings,nvst,BBG00LN4B5N0
Aflac Incorporated,afl,BBG000BBBNC6
Crown Holdings Inc,cck,BBG000BF6756
Regency Centers REIT,reg,BBG000BL46Q4
Boston Beer Co Inc The,sam,BBG000BCZBF1
Cincinnati Financial Corporation,cinf,BBG000BFPK65
ACM Research Inc,acmr,BBG00HPSG933
Haemonetics Corp,hae,BBG000C7TF41
Baidu,9888,BBG00ZMFX1S5
Travel + Leisure Co.,tnl,TBG000PV2L86
Marathon Digital Holdings,mara,BBG001K7WBT8
Spectrum Brands Holdings Inc,spb@us,BBG000DS5588
Nordstrom,jwn,BBG000G8N9C6
Ralph Lauren,rl,BBG000BS0ZF1
Envestnet Inc,env,BBG000Q4NZ54
RPM International Inc,rpm,BBG000DCNK80
Century Communities,ccs,BBG006G412Q6
ФСК Россети,fees,BBG00475JZZ6
Johnson & Johnson,jnj,BBG000BMHYD1
Обьнефтегазгеология - ао,obne,TCS00A0HG6Z8
Kinder Morgan,kmi,BBG0019JZ882
Simply Good Foods Co,smpl,BBG00GVP5JL4
Roku Inc,roku,BBG001ZZPQJ6
CarMax,kmx,BBG000BLMZK6
NorthWestern Energy Group,nwe,BBG000Q1NMJ4
Healthpeak Properties REIT,doc,TCS4250P1030
Host Hotels & Resorts REIT,hst,BBG000BL8804
Molson Coors Brewing,tap,BBG000BS7KS3
Evolent Health Inc,evh,BBG005CHLM96
Madrigal Pharmaceuticals Inc,mdgl,BBG000QS6NV8
Bilibili,9626,BBG00ZNW65W3
Zillow Group Inc,z,BBG009NRSWJ4
Unum,unm,BBG000BW2QX0
Parsons,psn,BBG000C3TKY6
Tetra Tech,ttek,BBG000BYZ0Q5
Пермэнергосбыт,pmsb,BBG000MZL0Y6
Sylvamo Corp.,slvm,BBG0122M8031
Methode Electronics Inc,mei,BBG000BNY197
"SentinelOne, Inc.",s,BBG00B6F2F09
Netflix,nflx,BBG000CL9VN6
Consolidated Edison,ed,BBG000BHLYS1
Independent Bank Corp,indb,BBG000BM0597
Merck,mrk,BBG000BPD168
Brink's Co,bco,BBG000DR5QP5
National Presto Industries Inc,npk,BBG000BQ4GG2
Lenovo,992,BBG000BG4QM5
Vipshop,vips,BBG002NLDLV8
Elevance Health,elv,BBG000BCG930
UMB Financial,umbf,BBG000DD8WX1
Confluent,cflt,BBG007HWGYQ5
Dentsply Sirona,xray,BBG000BX57K1
Dominion Energy Inc,d,BBG000BGVW60
Grocery Outlet Holding Corp,go,BBG00P4R3079
Berkshire Hathaway,brk.b,BBG000DWG505
Urban Outfitters,urbn,BBG000BL79J3
Celanese Corp,ce,BBG000JYP7L8
NXP Semiconductors NV,nxpi,BBG000BND699
Cargurus Inc,carg,BBG00HQ77DS2
Amgen,amgn,BBG000BBS2Y0
Hanesbrands,hbi,BBG000D2ZTS8
ЗИЛ - акции привилегированные,zillp,BBG000QFB4J6
UniFirst Corp MA,unf,BBG000BW29L1
Nongfu Spring,9633,BBG00WR0QPZ7
Россети Московский регион,msrs,BBG004S687G6
Core Laboratories Inc.,clb,BBG01GG28WR3
PennyMac Financial Services,pfsi,BBG00LMYX123
