name,ticker,figi
Gazprom,xs0191754729,BBG00008WPG3
МТС 002Р-05,ru000a1083w0,TCS00A1083W0
РусГидро,ru000a105hc4,TCS00A105HC4
РКК выпуск 1,ru000a105vp7,TCS00A105VP7
Belarus,xs1634369224,BBG00GXQKMJ9
Газпром Капитал ЗО25-1-Е,ru000a105vl6,TCS00A105VL6
Lukoil,xs2159874002,BBG00TJF05J0
Рекорд трейд БО-01,ru000a1082m3,BBG01M5DW5F3
Сегежа Групп 003P-02R,ru000a105sp3,TCS00A105SP3
МТС 002P-02,ru000a1078s8,TCS00A1078S8
Новотранс выпуск 2,ru000a103133,TCS00A103133
Лизинг-Трейд выпуск 9,ru000a106gb6,TCS00A106GB6
Газпром нефть 003P-05R,ru000a105kp0,TCS00A105KP0
Атомэнергопром 001P-02,ru000a105k85,TCS00A105K85
МТС выпуск 14,ru000a101fh6,BBG00RTTRKD7
Новотранс выпуск 3,ru000a105cm4,TCS00A105CM4
МКБ ЗО2017,ru000a108lx6,BBG01N7PPF68
РУСАЛ БО-001Р-10,ru000a109jz3,TCS00A109JZ3
ОФЗ 29022,su29022rmfs9,BBG01BJBTTH6
Маныч-Агро выпуск 1,ru000a1032d7,TCS01A1032D7
Новабев Групп БО-П06,ru000a108ca3,TCS00A108CA3
ОФЗ 29020,su29020rmfs3,BBG00Y4SQ1Y1
Ника (ООО) 001P-03,ru000a107sh6,TCS70A107SH6
Газпром Нефть 003P-08R,ru000a107hg1,TCS00A107HG1
РЖД выпуск 32,ru000a0jsgv0,BBG0036YHM96
Сбербанк,ru000a103wv8,TCS00A103WV8
ЕвроТранс,ru000a105pp9,TCS00A105PP9
Славянск ЭКО выпуск 1,ru000a103wb0,BBG01338VXJ4
МФК ВЭББАНКИР выпуск 1,ru000a103f43,BBG011XYBDN9
Проект 111 001Р-01,ru000a106u90,BBG01J99MBX3
Газпром капитал БО-001Р выпуск 3,ru000a101qm3,BBG00V93CKD3
ПЗ Пушкинское выпуск 1,ru000a104jf6,BBG015C3V4J4
РусГидро БО-П08,ru000a105mw2,TCS00A105MW2
РЕСО-Лизинг БО-П выпуск 03,issuancereso,ISSUANCERESO
АПРИ Флай Плэнинг выпуск 3,ru000a106wz2,TCS00A106WZ2
ВЭБ.РФ ПБО-002Р-36,ru000a105yh8,TCS00A105YH8
Логитерра-КО-П01,ru000a107nk1,TCS10A107NK1
Фордевинд 02,ru000a106dk4,TCS00A106DK4
Селигдар GOLD02,ru000a106xd7,TCS00A106XD7
ОФЗ 29018,su29018rmfs7,BBG00Y28DH67
Восточная Стивидорная Компания выпуск 3,ru000a105kr6,TCS00A105KR6
GMK NorNickel 2024,xs2069992258,TCS169992258
Трансмашхолдинг ПБО-04,ru000a1018c8,BBG00R6WV4J0
СФО СБ Секьюритизация Класс А,ru000a1097t6,TCS00A1097T6
